City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Northam,GB,2021-04-26 01:32:58,51.0333,-4.2167,44.01,80,48,11.99,scattered clouds
236,Pacifica,US,2021-04-26 01:31:04,37.6138,-122.4869,55.99,82,40,5.75,mist
237,Kahului,US,2021-04-26 01:29:38,20.8947,-156.47,78.8,65,40,26.46,scattered clouds
238,Boa Vista,BR,2021-04-26 01:32:58,2.8197,-60.6733,80.6,83,75,2.3,light rain
239,Traverse City,US,2021-04-26 01:32:29,44.7631,-85.6206,35.6,60,75,5.75,broken clouds
240,Saint-Augustin,CA,2021-04-26 01:32:58,51.226,-58.6502,37.6,78,28,5.48,scattered clouds
241,Berbera,SO,2021-04-26 01:32:59,10.4396,45.0143,83.91,74,100,5.68,light rain
242,Banyo,CM,2021-04-26 01:33:00,6.75,11.8167,67.01,78,63,1.97,broken clouds
243,Tarko-Sale,RU,2021-04-26 01:33:00,64.9225,77.785,32.0,80,100,14.38,overcast clouds
244,Leningradskiy,RU,2021-04-26 01:33:01,69.3833,178.4167,29.23,83,100,1.48,overcast clouds
245,Itumba,TZ,2021-04-26 01:33:01,-9.4,33.1833,59.99,96,53,3.6,broken clouds
246,Talcahuano,CL,2021-04-26 01:33:01,-36.7167,-73.1167,55.4,100,0,10.36,clear sky
247,College,US,2021-04-26 01:29:56,64.8569,-147.8028,66.2,20,1,0.98,clear sky
248,Qaqortoq,GL,2021-04-26 01:33:02,60.7167,-46.0333,50.0,32,75,33.38,light rain
249,Hirara,JP,2021-04-26 01:33:02,24.8,125.2833,75.2,60,20,12.66,few clouds
250,Talnakh,RU,2021-04-26 01:33:02,69.4865,88.3972,6.73,88,97,7.65,overcast clouds
251,Esperance,AU,2021-04-26 01:33:03,-33.8667,121.9,73.4,33,0,17.27,clear sky
252,Greeley,US,2021-04-26 01:28:26,40.4233,-104.7091,73.4,17,1,3.44,clear sky
253,Bambanglipuro,ID,2021-04-26 01:33:03,-7.95,110.2833,83.44,66,1,3.09,clear sky
254,Tinskoy,RU,2021-04-26 01:33:03,56.1525,96.9161,36.9,92,100,9.33,light snow
255,Krasnooktyabrskiy,RU,2021-04-26 01:33:04,44.9328,38.3712,46.4,93,90,2.24,overcast clouds
256,Henties Bay,NA,2021-04-26 01:33:04,-22.116,14.2845,61.0,92,5,3.0,clear sky
257,Araguaina,BR,2021-04-26 01:33:04,-7.1911,-48.2072,74.16,89,100,2.19,overcast clouds
258,Shimoda,JP,2021-04-26 01:33:05,34.6667,138.95,57.2,41,20,19.57,few clouds
259,Anadyr,RU,2021-04-26 01:33:05,64.75,177.4833,26.6,93,75,2.24,fog
260,Hasaki,JP,2021-04-26 01:33:05,35.7333,140.8333,59.0,28,20,17.27,few clouds
